"node_id","parent_id","node_type","band_code","band_title","scene_slug","scene_title","stage_key","stage_title","sort_order","is_published","topic","summary","objective","dialogue_seed","vocabulary_seed","grammar_seed","estimated_minutes","tags","scene_title_en"
"root","","root","","LingoQuest 场景课程","","LingoQuest 场景课程","","","0","true","","英语场景课程总目录","","","","","","",""
"band:A1","root","band","A1","入门级（生存英语）","","入门级（生存英语）","","","1","true","入门级（生存英语）","以看懂、会说、敢开口为主，先解决最常见的生存沟通需求。","完成 A1 阶段的场景训练，形成可迁移的真实沟通能力。","","","","","A1",""
"scene:a1-01","band:A1","scene","A1","入门级（生存英语）","a1-01","问候与自我介绍","","","1","true","问候与自我介绍","入门级（生存英语） 场景：问候与自我介绍","围绕“问候与自我介绍”完成从输入、搭建、互动到输出的关卡训练。","围绕“问候与自我介绍”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“问候与自我介绍”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“问候与自我介绍”匹配最实用的语法重点与表达结构。","20","A1|问候与自我介绍","Greetings and Self-Introductions"
"scene:a1-01:stage:survival-input","scene:a1-01","stage","A1","入门级（生存英语）","a1-01","问候与自我介绍","survival-input","第 1 关 · 识别场景","1","true","问候与自我介绍","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“问候与自我介绍”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“问候与自我介绍”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“问候与自我介绍”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|问候与自我介绍|survival-input","Greetings and Self-Introductions"
"scene:a1-01:stage:core-pattern","scene:a1-01","stage","A1","入门级（生存英语）","a1-01","问候与自我介绍","core-pattern","第 2 关 · 搭句开口","2","true","问候与自我介绍","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“问候与自我介绍”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“问候与自我介绍”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“问候与自我介绍”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|问候与自我介绍|core-pattern","Greetings and Self-Introductions"
"scene:a1-01:stage:guided-scene","scene:a1-01","stage","A1","入门级（生存英语）","a1-01","问候与自我介绍","guided-scene","第 3 关 · 引导互动","3","true","问候与自我介绍","进入明确场景，按提示完成一轮来回互动。","能在“问候与自我介绍”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“问候与自我介绍”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“问候与自我介绍”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|问候与自我介绍|guided-scene","Greetings and Self-Introductions"
"scene:a1-01:stage:micro-task","scene:a1-01","stage","A1","入门级（生存英语）","a1-01","问候与自我介绍","micro-task","第 4 关 · 完成小任务","4","true","问候与自我介绍","把一句一句练习变成一次完整任务输出。","能独立完成一次“问候与自我介绍”小任务，做到有开场、有说明、有收尾。","围绕“问候与自我介绍”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“问候与自我介绍”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|问候与自我介绍|micro-task","Greetings and Self-Introductions"
"scene:a1-02","band:A1","scene","A1","入门级（生存英语）","a1-02","个人基础信息（姓名、年龄、国籍）","","","2","true","个人基础信息（姓名、年龄、国籍）","入门级（生存英语） 场景：个人基础信息（姓名、年龄、国籍）","围绕“个人基础信息（姓名、年龄、国籍）”完成从输入、搭建、互动到输出的关卡训练。","围绕“个人基础信息（姓名、年龄、国籍）”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“个人基础信息（姓名、年龄、国籍）”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“个人基础信息（姓名、年龄、国籍）”匹配最实用的语法重点与表达结构。","20","A1|个人基础信息-姓名-年龄-国籍","Basic Personal Information"
"scene:a1-02:stage:survival-input","scene:a1-02","stage","A1","入门级（生存英语）","a1-02","个人基础信息（姓名、年龄、国籍）","survival-input","第 1 关 · 识别场景","1","true","个人基础信息（姓名、年龄、国籍）","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“个人基础信息（姓名、年龄、国籍）”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“个人基础信息（姓名、年龄、国籍）”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“个人基础信息（姓名、年龄、国籍）”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|个人基础信息-姓名-年龄-国籍|survival-input","Basic Personal Information"
"scene:a1-02:stage:core-pattern","scene:a1-02","stage","A1","入门级（生存英语）","a1-02","个人基础信息（姓名、年龄、国籍）","core-pattern","第 2 关 · 搭句开口","2","true","个人基础信息（姓名、年龄、国籍）","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“个人基础信息（姓名、年龄、国籍）”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“个人基础信息（姓名、年龄、国籍）”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“个人基础信息（姓名、年龄、国籍）”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|个人基础信息-姓名-年龄-国籍|core-pattern","Basic Personal Information"
"scene:a1-02:stage:guided-scene","scene:a1-02","stage","A1","入门级（生存英语）","a1-02","个人基础信息（姓名、年龄、国籍）","guided-scene","第 3 关 · 引导互动","3","true","个人基础信息（姓名、年龄、国籍）","进入明确场景，按提示完成一轮来回互动。","能在“个人基础信息（姓名、年龄、国籍）”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“个人基础信息（姓名、年龄、国籍）”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“个人基础信息（姓名、年龄、国籍）”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|个人基础信息-姓名-年龄-国籍|guided-scene","Basic Personal Information"
"scene:a1-02:stage:micro-task","scene:a1-02","stage","A1","入门级（生存英语）","a1-02","个人基础信息（姓名、年龄、国籍）","micro-task","第 4 关 · 完成小任务","4","true","个人基础信息（姓名、年龄、国籍）","把一句一句练习变成一次完整任务输出。","能独立完成一次“个人基础信息（姓名、年龄、国籍）”小任务，做到有开场、有说明、有收尾。","围绕“个人基础信息（姓名、年龄、国籍）”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“个人基础信息（姓名、年龄、国籍）”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|个人基础信息-姓名-年龄-国籍|micro-task","Basic Personal Information"
"scene:a1-03","band:A1","scene","A1","入门级（生存英语）","a1-03","常见物品与教室用品","","","3","true","常见物品与教室用品","入门级（生存英语） 场景：常见物品与教室用品","围绕“常见物品与教室用品”完成从输入、搭建、互动到输出的关卡训练。","围绕“常见物品与教室用品”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“常见物品与教室用品”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“常见物品与教室用品”匹配最实用的语法重点与表达结构。","20","A1|常见物品与教室用品","Common Objects and Classroom Items"
"scene:a1-03:stage:survival-input","scene:a1-03","stage","A1","入门级（生存英语）","a1-03","常见物品与教室用品","survival-input","第 1 关 · 识别场景","1","true","常见物品与教室用品","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“常见物品与教室用品”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“常见物品与教室用品”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“常见物品与教室用品”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|常见物品与教室用品|survival-input","Common Objects and Classroom Items"
"scene:a1-03:stage:core-pattern","scene:a1-03","stage","A1","入门级（生存英语）","a1-03","常见物品与教室用品","core-pattern","第 2 关 · 搭句开口","2","true","常见物品与教室用品","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“常见物品与教室用品”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“常见物品与教室用品”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“常见物品与教室用品”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|常见物品与教室用品|core-pattern","Common Objects and Classroom Items"
"scene:a1-03:stage:guided-scene","scene:a1-03","stage","A1","入门级（生存英语）","a1-03","常见物品与教室用品","guided-scene","第 3 关 · 引导互动","3","true","常见物品与教室用品","进入明确场景，按提示完成一轮来回互动。","能在“常见物品与教室用品”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“常见物品与教室用品”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“常见物品与教室用品”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|常见物品与教室用品|guided-scene","Common Objects and Classroom Items"
"scene:a1-03:stage:micro-task","scene:a1-03","stage","A1","入门级（生存英语）","a1-03","常见物品与教室用品","micro-task","第 4 关 · 完成小任务","4","true","常见物品与教室用品","把一句一句练习变成一次完整任务输出。","能独立完成一次“常见物品与教室用品”小任务，做到有开场、有说明、有收尾。","围绕“常见物品与教室用品”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“常见物品与教室用品”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|常见物品与教室用品|micro-task","Common Objects and Classroom Items"
"scene:a1-04","band:A1","scene","A1","入门级（生存英语）","a1-04","数字、时间、日期、星期","","","4","true","数字、时间、日期、星期","入门级（生存英语） 场景：数字、时间、日期、星期","围绕“数字、时间、日期、星期”完成从输入、搭建、互动到输出的关卡训练。","围绕“数字、时间、日期、星期”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“数字、时间、日期、星期”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“数字、时间、日期、星期”匹配最实用的语法重点与表达结构。","20","A1|数字-时间-日期-星期","Numbers, Time, Dates, and Days"
"scene:a1-04:stage:survival-input","scene:a1-04","stage","A1","入门级（生存英语）","a1-04","数字、时间、日期、星期","survival-input","第 1 关 · 识别场景","1","true","数字、时间、日期、星期","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“数字、时间、日期、星期”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“数字、时间、日期、星期”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“数字、时间、日期、星期”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|数字-时间-日期-星期|survival-input","Numbers, Time, Dates, and Days"
