row_id,book_slug,book_title,topic,subtopic,word,phonetic,chinese,example,hint,sort_order
"1","categorized-collection","按类型区分（4000词）","气象","气象","arid","ˈærɪd","adj. 干旱的；贫瘠的；枯燥无趣的","Try using ""arid"" in a sentence related to 气象.","放到“气象”这一类里记，先把 arid 和“干旱的”稳定对应起来，再连同例句一起复用。","1"
"2","categorized-collection","按类型区分（4000词）","气象","气象","atmosphere","ˈætməsfɪə(r)","n. 大气；气氛；氛围","Try using ""atmosphere"" in a sentence related to 气象.","放到“气象”这一类里记，先把 atmosphere 和“大气”稳定对应起来，再连同例句一起复用。","2"
"3","categorized-collection","按类型区分（4000词）","气象","气象","balmy","ˈbɑːmi","adj. 温和宜人的（气候）；芳香的","Try using ""balmy"" in a sentence related to 气象.","放到“气象”这一类里记，先把 balmy 和“温和宜人的（气候）”稳定对应起来，再连同例句一起复用。","3"
"4","categorized-collection","按类型区分（4000词）","气象","气象","barometer","bəˈrɒmɪtə(r)","n. 晴雨表；气压计","Try using ""barometer"" in a sentence related to 气象.","放到“气象”这一类里记，先把 barometer 和“晴雨表”稳定对应起来，再连同例句一起复用。","4"
"5","categorized-collection","按类型区分（4000词）","气象","气象","blast","blɑːst","n. 爆炸；一阵强劲的气流；突然的响声 v. 爆破；产生巨大响声","Try using ""blast"" in a sentence related to 气象.","放到“气象”这一类里记，先把 blast 和“爆炸”稳定对应起来，再连同例句一起复用。","5"
"6","categorized-collection","按类型区分（4000词）","气象","气象","blizzard","ˈblɪzəd","n. 暴风雪；大量","Try using ""blizzard"" in a sentence related to 气象.","放到“气象”这一类里记，先把 blizzard 和“暴风雪”稳定对应起来，再连同例句一起复用。","6"
"7","categorized-collection","按类型区分（4000词）","气象","气象","breeze","briːz","n. 微风；和风","Try using ""breeze"" in a sentence related to 气象.","放到“气象”这一类里记，先把 breeze 和“微风”稳定对应起来，再连同例句一起复用。","7"
"8","categorized-collection","按类型区分（4000词）","气象","气象","chill","tʃɪl","n. 寒冷；寒意 v. 变冷；使冰冷 adj. 寒冷的","Try using ""chill"" in a sentence related to 气象.","放到“气象”这一类里记，先把 chill 和“寒冷”稳定对应起来，再连同例句一起复用。","8"
"9","categorized-collection","按类型区分（4000词）","气象","气象","chilly","ˈtʃɪli","adj. 寒冷的；冷淡的；冷漠的","Try using ""chilly"" in a sentence related to 气象.","放到“气象”这一类里记，先把 chilly 和“寒冷的”稳定对应起来，再连同例句一起复用。","9"
"10","categorized-collection","按类型区分（4000词）","气象","气象","climate","ˈklaɪmət","n. 气候；（社会）风气；一般（社会）趋势","Try using ""climate"" in a sentence related to 气象.","放到“气象”这一类里记，先把 climate 和“气候”稳定对应起来，再连同例句一起复用。","10"
"11","categorized-collection","按类型区分（4000词）","气象","气象","condense","kənˈdens","v. （使）冷凝；浓缩；删节以求精简","Try using ""condense"" in a sentence related to 气象.","放到“气象”这一类里记，先把 condense 和“（使）冷凝”稳定对应起来，再连同例句一起复用。","11"
"12","categorized-collection","按类型区分（4000词）","气象","气象","convection zone","kənˈvekʃ(ə)n zəʊn","phrase. 对流层；对流区","Try using ""convection zone"" in a sentence related to 气象.","放到“气象”这一类里记，先把 convection zone 和“phrase. 对流层”稳定对应起来，再连同例句一起复用。","12"
"13","categorized-collection","按类型区分（4000词）","气象","气象","crystal","ˈkrɪst(ə)l","n. 水晶；结晶 adj. 晶体的","Try using ""crystal"" in a sentence related to 气象.","放到“气象”这一类里记，先把 crystal 和“水晶”稳定对应起来，再连同例句一起复用。","13"
"14","categorized-collection","按类型区分（4000词）","气象","气象","current","ˈkʌrənt","n. （水、气、电）流；趋势 adj. 当前的；流通的","Try using ""current"" in a sentence related to 气象.","放到“气象”这一类里记，先把 current 和“（水、气、电）流”稳定对应起来，再连同例句一起复用。","14"
"15","categorized-collection","按类型区分（4000词）","气象","气象","damp","dæmp","adj. 潮湿的 n. 潮湿 v. 使潮湿","Try using ""damp"" in a sentence related to 气象.","放到“气象”这一类里记，先把 damp 和“潮湿的 n. 潮湿 v. 使潮湿”稳定对应起来，再连同例句一起复用。","15"
"16","categorized-collection","按类型区分（4000词）","气象","气象","dank","dæŋk","adj. 阴湿的","Try using ""dank"" in a sentence related to 气象.","放到“气象”这一类里记，先把 dank 和“阴湿的”稳定对应起来，再连同例句一起复用。","16"
"17","categorized-collection","按类型区分（4000词）","气象","气象","dew","djuː","n. 露；露水","Try using ""dew"" in a sentence related to 气象.","放到“气象”这一类里记，先把 dew 和“露”稳定对应起来，再连同例句一起复用。","17"
"18","categorized-collection","按类型区分（4000词）","气象","气象","downpour","ˈdaʊnpɔː(r)","n. 倾盆大雨；暴雨","Try using ""downpour"" in a sentence related to 气象.","放到“气象”这一类里记，先把 downpour 和“倾盆大雨”稳定对应起来，再连同例句一起复用。","18"
"19","categorized-collection","按类型区分（4000词）","气象","气象","drizzle","ˈdrɪz(ə)l","v. 下毛毛雨；（毛毛雨似的）洒落 n. 毛毛细雨","Try using ""drizzle"" in a sentence related to 气象.","放到“气象”这一类里记，先把 drizzle 和“下毛毛雨”稳定对应起来，再连同例句一起复用。","19"
"20","categorized-collection","按类型区分（4000词）","气象","气象","droplet","ˈdrɒplət","n. 小滴","Try using ""droplet"" in a sentence related to 气象.","放到“气象”这一类里记，先把 droplet 和“小滴”稳定对应起来，再连同例句一起复用。","20"
"21","categorized-collection","按类型区分（4000词）","气象","气象","drought","draʊt","n. 旱灾；干旱","Try using ""drought"" in a sentence related to 气象.","放到“气象”这一类里记，先把 drought 和“旱灾”稳定对应起来，再连同例句一起复用。","21"
"22","categorized-collection","按类型区分（4000词）","气象","气象","frigid","ˈfrɪdʒɪd","adj. 寒冷的；冷淡的；性冷淡的（女子）","Try using ""frigid"" in a sentence related to 气象.","放到“气象”这一类里记，先把 frigid 和“寒冷的”稳定对应起来，再连同例句一起复用。","22"
