uid,lessonId,topic,learnerLevel,score,awardedXp,completed,completedAt
"dev-user","table-test-lesson","table test","beginner","100","50","true","2026-04-09T14:53:21.548Z"
"dev-user","a1-01-survival-input-1775900678222","问候与自我介绍:survival-input","beginner","100","50","true","2026-04-11T09:44:38.235Z"
"dev-user","a1-01-core-pattern-1775901009124","问候与自我介绍:core-pattern","beginner","100","50","true","2026-04-11T09:50:09.137Z"
"dev-user","a1-01-core-pattern-1775901216944","问候与自我介绍:core-pattern","beginner","100","50","true","2026-04-11T09:53:36.957Z"
"dev-user","a1-01-guided-scene-1775901328493","问候与自我介绍:guided-scene","beginner","100","50","true","2026-04-11T09:55:28.505Z"
"dev-user","a1-01-micro-task-1775901341055","问候与自我介绍:micro-task","beginner","100","50","true","2026-04-11T09:55:41.075Z"
"dev-user","a1-02-survival-input-1775901404098","个人基础信息（姓名、年龄、国籍）:survival-input","beginner","100","50","true","2026-04-11T09:56:44.110Z"
"dev-user","a1-01-survival-input-1775902066479","问候与自我介绍:survival-input","intermediate","100","50","true","2026-04-11T10:07:46.494Z"
"dev-user","a1-01-survival-input-1775902104681","问候与自我介绍:survival-input","intermediate","100","50","true","2026-04-11T10:08:24.692Z"
"dev-user","a1-01-core-pattern-1775902110431","问候与自我介绍:core-pattern","intermediate","100","50","true","2026-04-11T10:08:30.442Z"
"dev-user","a1-01-guided-scene-1775902117235","问候与自我介绍:guided-scene","intermediate","100","50","true","2026-04-11T10:08:37.247Z"
"dev-user","a1-01-micro-task-1775902123916","问候与自我介绍:micro-task","intermediate","100","50","true","2026-04-11T10:08:43.929Z"
"dev-user","a1-02-core-pattern-1775902158408","个人基础信息（姓名、年龄、国籍）:core-pattern","intermediate","100","50","true","2026-04-11T10:09:18.422Z"
"dev-user","a1-02-guided-scene-1775902166288","个人基础信息（姓名、年龄、国籍）:guided-scene","intermediate","100","50","true","2026-04-11T10:09:26.300Z"
"dev-user","a1-02-micro-task-1775902171969","个人基础信息（姓名、年龄、国籍）:micro-task","intermediate","100","50","true","2026-04-11T10:09:31.982Z"
"dev-user","a1-03-survival-input-1775902813809","常见物品与教室用品:survival-input","advanced","100","50","true","2026-04-11T10:20:13.825Z"
"dev-user","a1-03-core-pattern-1775903642680","常见物品与教室用品:core-pattern","advanced","100","50","true","2026-04-11T10:34:02.693Z"
"dev-user","a1-03-guided-scene-1775903708224","常见物品与教室用品:guided-scene","advanced","100","50","true","2026-04-11T10:35:08.237Z"
"dev-user","a1-04-survival-input-1775904139459","数字、时间、日期、星期:survival-input","advanced","100","50","true","2026-04-11T10:42:19.470Z"
"dev-user","a1-04-core-pattern-1775904266082","数字、时间、日期、星期:core-pattern","advanced","100","50","true","2026-04-11T10:44:26.095Z"
"dev-user","a1-03-guided-scene-1775918749551","常见物品与教室用品:guided-scene","advanced","100","50","true","2026-04-11T14:45:49.567Z"
"dev-user","a1-03-micro-task-1775918823350","常见物品与教室用品:micro-task","advanced","100","50","true","2026-04-11T14:47:03.367Z"
"dev-user","a1-03-survival-input-1775919946190","常见物品与教室用品:survival-input","advanced","100","50","true","2026-04-11T15:05:46.205Z"
"dev-user","a1-03-survival-input-1775922616842","常见物品与教室用品:survival-input","advanced","100","50","true","2026-04-11T15:50:16.860Z"
"dev-user","a1-04-guided-scene-1775924435739","数字、时间、日期、星期:guided-scene","advanced","100","50","true","2026-04-11T16:20:35.754Z"
"dev-user","a1-01-survival-input-1775925156899","问候与自我介绍:survival-input","advanced","100","50","true","2026-04-11T16:32:36.919Z"
"dev-user","a1-04-survival-input-1775925973366","数字、时间、日期、星期:survival-input","advanced","100","50","true","2026-04-11T16:46:13.381Z"
"dev-user","a1-04-micro-task-1775988310697","数字、时间、日期、星期:micro-task","advanced","100","50","true","2026-04-12T10:05:10.715Z"
"dev-user","a1-05-survival-input-1775989240245","颜色、动物、身体部位:survival-input","advanced","100","50","true","2026-04-12T10:20:40.254Z"
"dev-user","a1-05-core-pattern-1776092022377","颜色、动物、身体部位:core-pattern","beginner","100","50","true","2026-04-13T14:53:42.432Z"
"dev-user","a1-05-guided-scene-1776094254681","颜色、动物、身体部位:guided-scene","beginner","100","50","true","2026-04-13T15:30:54.697Z"
"dev-user","a1-05-micro-task-1776095545676","颜色、动物、身体部位:micro-task","beginner","100","50","true","2026-04-13T15:52:25.692Z"
